data_id,room_id,board_id,light,temp,sound,uploadtime,status
66300,516,516C,404,25,612,09/12/2021 09:17,1
66301,516,516B,205,25,622,09/12/2021 09:17,1
66302,516,516A,244,24,522,09/12/2021 09:17,1
66303,516,516C,217,25,613,09/12/2021 09:17,1
66304,516,516B,228,25,623,09/12/2021 09:17,1
66305,516,516A,208,24,528,09/12/2021 09:17,1
66306,516,516C,236,25,612,09/12/2021 09:17,1
66307,516,516B,241,25,624,09/12/2021 09:17,1
66308,516,516A,240,24,527,09/12/2021 09:17,1
66309,516,516C,211,25,611,09/12/2021 09:18,1
66310,516,516B,211,25,623,09/12/2021 09:18,1
66311,516,516A,230,24,527,09/12/2021 09:18,1
66312,516,516C,237,25,613,09/12/2021 09:18,1
66313,516,516B,203,25,622,09/12/2021 09:18,1
66314,516,516A,213,24,527,09/12/2021 09:18,1
66315,516,516C,215,25,612,09/12/2021 09:18,1
66316,516,516B,212,25,621,09/12/2021 09:18,1
66317,516,516A,243,24,527,09/12/2021 09:18,1
66318,516,516C,220,25,612,09/12/2021 09:18,1
66319,516,516B,231,25,622,09/12/2021 09:18,1
66321,516,516C,236,25,612,09/12/2021 09:18,1
66322,516,516B,238,25,623,09/12/2021 09:18,1
66323,516,516A,242,24,527,09/12/2021 09:18,1
66324,516,516C,218,25,613,09/12/2021 09:18,1
66325,516,516B,242,25,622,09/12/2021 09:18,1
66326,516,516A,218,24,528,09/12/2021 09:18,1
66327,516,516B,244,25,623,09/12/2021 09:18,1
66328,516,516C,237,25,612,09/12/2021 09:18,1
66329,516,516A,225,24,527,09/12/2021 09:18,1
66330,516,516B,241,25,617,09/12/2021 09:18,1
66331,516,516C,222,25,613,09/12/2021 09:18,1
66332,516,516A,238,24,527,09/12/2021 09:18,1
66333,516,516B,245,25,623,09/12/2021 09:18,1
66334,516,516C,212,24,613,09/12/2021 09:18,1
66335,516,516A,219,24,528,09/12/2021 09:18,1
66336,516,516B,222,25,623,09/12/2021 09:18,1
66337,516,516C,237,25,613,09/12/2021 09:18,1
66338,516,516A,216,24,528,09/12/2021 09:19,1
66339,516,516B,211,25,624,09/12/2021 09:19,1
66340,516,516C,212,25,612,09/12/2021 09:19,1
