"data_id","room_id","board_id","light","temp","sound","uploadtime"
"315","412","412Z","553","26","526","2021-11-02 15:17:35"
"316","412","412Z","555","26","524","2021-11-02 15:17:54"
"317","412","412Z","514","26","539","2021-11-02 15:18:02"
"318","412","412Z","532","26","524","2021-11-02 15:18:07"
"319","412","412Z","527","26","524","2021-11-02 15:18:11"
"320","412","412Z","525","26","526","2021-11-02 15:18:16"
"321","412","412Z","359","26","523","2021-11-02 15:19:03"
"322","412","412Z","337","26","525","2021-11-02 15:19:16"
"323","412","412Z","329","26","524","2021-11-02 15:19:19"
"324","412","412Z","305","26","524","2021-11-02 15:19:26"
"325","412","412Z","326","26","524","2021-11-02 15:19:32"
"326","412","412Z","316","26","524","2021-11-02 15:19:39"
"327","412","412Z","312","26","524","2021-11-02 15:19:45"
"328","412","412Z","320","26","524","2021-11-02 15:19:56"
"329","412","412Z","318","26","526","2021-11-02 15:20:00"
"330","412","412Z","335","26","524","2021-11-02 15:20:06"
"331","412","412Z","317","26","524","2021-11-02 15:20:13"
"332","412","412Z","334","26","523","2021-11-02 15:20:23"
"333","412","412Z","352","26","524","2021-11-02 15:20:29"
"334","412","412Z","390","26","523","2021-11-02 15:20:34"
"335","412","412Z","409","26","524","2021-11-02 15:20:38"
"336","412","412Z","356","26","525","2021-11-02 15:20:43"
"337","412","412Z","339","26","524","2021-11-02 15:20:49"
"338","412","412Z","332","26","524","2021-11-02 15:20:56"
"339","412","412Z","326","26","525","2021-11-02 15:21:08"
"340","412","412Z","311","26","523","2021-11-02 15:21:49"
"341","412","412Z","306","26","522","2021-11-02 15:21:55"
"342","412","412Z","309","26","522","2021-11-02 15:22:02"
"343","412","412Z","300","26","522","2021-11-02 15:22:14"
"344","412","412Z","306","26","522","2021-11-02 15:22:19"
"345","412","412Z","285","26","523","2021-11-02 15:22:23"
"346","412","412Z","299","26","522","2021-11-02 15:22:32"
"347","412","412Z","288","26","524","2021-11-02 15:22:37"
"348","412","412Z","287","26","522","2021-11-02 15:23:13"
"349","412","412Z","290","26","522","2021-11-02 15:23:25"
"350","412","412Z","285","26","523","2021-11-02 15:23:30"
"351","412","412Z","287","26","521","2021-11-02 15:23:35"
