"data_id","room_id","board_id","light","temp","sound","uploadtime","status"
"315","412","412Z","553","26","526","2021-11-02 15:17:35","inuse"
"316","412","412Z","555","26","524","2021-11-02 15:17:54","inuse"
"317","412","412Z","514","26","539","2021-11-02 15:18:02","inuse"
"318","412","412Z","532","26","524","2021-11-02 15:18:07","inuse"
"319","412","412Z","527","26","524","2021-11-02 15:18:11","inuse"
"320","412","412Z","525","26","526","2021-11-02 15:18:16","inuse"
"321","412","412Z","359","26","523","2021-11-02 15:19:03","inuse"
"322","412","412Z","337","26","525","2021-11-02 15:19:16","inuse"
"323","412","412Z","329","26","524","2021-11-02 15:19:19","inuse"
"324","412","412Z","305","26","524","2021-11-02 15:19:26","inuse"
"325","412","412Z","326","26","524","2021-11-02 15:19:32","inuse"
"326","412","412Z","316","26","524","2021-11-02 15:19:39","inuse"
"327","412","412Z","312","26","524","2021-11-02 15:19:45","inuse"
"328","412","412Z","320","26","524","2021-11-02 15:19:56","inuse"
"329","412","412Z","318","26","526","2021-11-02 15:20:00","inuse"
"330","412","412Z","335","26","524","2021-11-02 15:20:06","inuse"
"331","412","412Z","317","26","524","2021-11-02 15:20:13","inuse"
"332","412","412Z","334","26","523","2021-11-02 15:20:23","inuse"
"333","412","412Z","352","26","524","2021-11-02 15:20:29","inuse"
"334","412","412Z","390","26","523","2021-11-02 15:20:34","inuse"
"335","412","412Z","409","26","524","2021-11-02 15:20:38","inuse"
"336","412","412Z","356","26","525","2021-11-02 15:20:43","inuse"
"337","412","412Z","339","26","524","2021-11-02 15:20:49","inuse"
"338","412","412Z","332","26","524","2021-11-02 15:20:56","inuse"
"339","412","412Z","326","26","525","2021-11-02 15:21:08","inuse"
"340","412","412Z","311","26","523","2021-11-02 15:21:49","inuse"
"341","412","412Z","306","26","522","2021-11-02 15:21:55","inuse"
"342","412","412Z","309","26","522","2021-11-02 15:22:02","inuse"
"343","412","412Z","300","26","522","2021-11-02 15:22:14","inuse"
"344","412","412Z","306","26","522","2021-11-02 15:22:19","inuse"
"345","412","412Z","285","26","523","2021-11-02 15:22:23","inuse"
"346","412","412Z","299","26","522","2021-11-02 15:22:32","inuse"
"347","412","412Z","288","26","524","2021-11-02 15:22:37","inuse"
"348","412","412Z","287","26","522","2021-11-02 15:23:13","inuse"
"349","412","412Z","290","26","522","2021-11-02 15:23:25","inuse"
"350","412","412Z","285","26","523","2021-11-02 15:23:30","inuse"
"351","412","412Z","287","26","521","2021-11-02 15:23:35","inuse"
"352","412","412Z","278","26","522","2021-11-02 15:23:43","inuse"
